candidate_id,enzyme_name,structure_family,organism,sequence_length,uniprot_id,plddt_mean,catalytic_site_confidence,estimated_temperature_optimum,estimated_ph_optimum,estimated_salinity_tolerance,synthetic_degradation_rate,estimated_expression_difficulty,estimated_production_cost,literature_evidence_level,literature_evidence_label,experimental_status,data_provenance,structure_reference_uniprot_id,structure_reference_name,structure_reference_organism,alphafold_db_url,predicted_structure_url,structure_link_type
ENZ-SYN-011,SYN-LCCL-011,Leaf-branch-compost-cutinase-like,marine-sediment metagenome (simulated),260,,90.6,0.829,66.4,8.03,47.8,5.451,5,373.0,1,Single simulated observation,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-012,SYN-PETL-012,PETase-like,compost metagenome (simulated),276,,78.3,0.526,49.3,7.82,22.2,0.466,3,232.0,0,No supporting record (in-silico only),in_silico_only,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-013,SYN-LCCL-013,Leaf-branch-compost-cutinase-like,soil metagenome (simulated),284,,88.6,0.724,67.8,8.62,33.0,2.823,3,123.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-014,SYN-TFCL-014,Thermobifida-cutinase-like,hot-spring metagenome (simulated),293,,87.0,0.762,77.6,7.18,19.7,0.222,3,176.0,1,Single simulated observation,expressed_in_vitro,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-015,SYN-LCCL-015,Leaf-branch-compost-cutinase-like,marine-sediment metagenome (simulated),274,,80.5,0.621,62.0,7.57,53.6,0.54,1,75.0,1,Single simulated observation,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-016,SYN-LCCL-016,Leaf-branch-compost-cutinase-like,hot-spring metagenome (simulated),307,,75.1,0.461,82.5,8.4,0.8,0.878,3,192.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-017,SYN-TFCL-017,Thermobifida-cutinase-like,hot-spring metagenome (simulated),325,,83.3,0.567,73.1,7.03,15.2,0.631,4,301.0,1,Single simulated observation,expressed_in_vitro,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-018,SYN-TFCL-018,Thermobifida-cutinase-like,compost metagenome (simulated),268,,97.0,0.979,68.8,8.95,20.4,6.0,4,324.0,4,Simulated cross-laboratory dataset,pilot_evaluated,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-019,SYN-FUNC-019,Fungal-cutinase-like,wastewater-sludge metagenome (simulated),253,,79.2,0.642,38.5,9.29,17.7,0.442,3,229.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,P00590,Cutinase 1,Fusarium vanettenii,https://alphafold.ebi.ac.uk/entry/P00590,https://alphafold.ebi.ac.uk/files/AF-P00590-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-020,SYN-TFCL-020,Thermobifida-cutinase-like,compost metagenome (simulated),284,,64.6,0.28,66.2,6.98,4.8,0.065,3,125.0,0,No supporting record (in-silico only),in_silico_only,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-021,SYN-TFCL-021,Thermobifida-cutinase-like,wastewater-sludge metagenome (simulated),277,,92.5,0.881,70.1,7.63,30.3,3.437,3,215.0,3,Simulated multi-condition dataset,expressed_in_vitro,synthetic,Q6A0I4,Cutinase cut2,Thermobifida fusca,https://alphafold.ebi.ac.uk/entry/Q6A0I4,https://alphafold.ebi.ac.uk/files/AF-Q6A0I4-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-022,SYN-MHTL-022,MHET-hydrolase-like,wastewater-sludge metagenome (simulated),542,,75.9,0.32,44.3,8.18,14.8,0.098,5,481.0,0,No supporting record (in-silico only),expressed_in_vitro,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-023,SYN-LCCL-023,Leaf-branch-compost-cutinase-like,compost metagenome (simulated),278,,75.0,0.344,79.1,7.9,14.8,0.789,1,72.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-024,SYN-LCCL-024,Leaf-branch-compost-cutinase-like,compost metagenome (simulated),302,,79.9,0.589,74.5,8.32,20.8,1.81,4,238.0,0,No supporting record (in-silico only),in_silico_only,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-025,SYN-PETL-025,PETase-like,marine-sediment metagenome (simulated),289,,88.7,0.857,43.5,7.54,41.6,1.304,3,192.0,1,Single simulated observation,expressed_in_vitro,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-026,SYN-MHTL-026,MHET-hydrolase-like,soil metagenome (simulated),619,,81.9,0.661,35.2,7.47,18.5,0.069,4,569.0,1,Single simulated observation,expressed_in_vitro,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-027,SYN-LCCL-027,Leaf-branch-compost-cutinase-like,wastewater-sludge metagenome (simulated),321,,80.2,0.551,70.0,8.0,0.0,1.375,3,201.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-028,SYN-FUNC-028,Fungal-cutinase-like,wastewater-sludge metagenome (simulated),256,,89.6,0.809,32.1,8.25,48.6,1.016,4,375.0,3,Simulated multi-condition dataset,activity_screened,synthetic,P00590,Cutinase 1,Fusarium vanettenii,https://alphafold.ebi.ac.uk/entry/P00590,https://alphafold.ebi.ac.uk/files/AF-P00590-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-029,SYN-LCCL-029,Leaf-branch-compost-cutinase-like,wastewater-sludge metagenome (simulated),286,,83.2,0.436,75.2,8.01,29.2,1.176,3,217.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-030,SYN-MHTL-030,MHET-hydrolase-like,hot-spring metagenome (simulated),541,,82.3,0.626,46.9,8.2,19.6,0.029,2,238.0,1,Single simulated observation,expressed_in_vitro,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-031,SYN-PETL-031,PETase-like,hot-spring metagenome (simulated),265,,93.0,0.927,51.5,7.75,0.0,6.0,2,132.0,3,Simulated multi-condition dataset,activity_screened,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-032,SYN-LCCL-032,Leaf-branch-compost-cutinase-like,soil metagenome (simulated),300,,88.9,0.798,71.8,8.37,10.5,1.83,3,318.0,4,Simulated cross-laboratory dataset,pilot_evaluated,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-033,SYN-PETL-033,PETase-like,compost metagenome (simulated),293,,97.0,0.705,49.0,8.46,20.3,5.774,5,476.0,3,Simulated multi-condition dataset,activity_screened,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-034,SYN-FUNC-034,Fungal-cutinase-like,hot-spring metagenome (simulated),253,,88.6,0.83,55.3,10.04,3.3,0.917,5,557.0,0,No supporting record (in-silico only),in_silico_only,synthetic,P00590,Cutinase 1,Fusarium vanettenii,https://alphafold.ebi.ac.uk/entry/P00590,https://alphafold.ebi.ac.uk/files/AF-P00590-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-035,SYN-LCCL-035,Leaf-branch-compost-cutinase-like,wastewater-sludge metagenome (simulated),294,,84.2,0.685,69.8,7.95,22.4,2.943,4,296.0,4,Simulated cross-laboratory dataset,pilot_evaluated,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-036,SYN-LCCL-036,Leaf-branch-compost-cutinase-like,wastewater-sludge metagenome (simulated),283,,89.4,0.715,65.0,8.52,13.2,4.813,4,287.0,3,Simulated multi-condition dataset,activity_screened,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-037,SYN-FUNC-037,Fungal-cutinase-like,soil metagenome (simulated),262,,85.5,0.743,44.6,8.92,16.9,0.929,3,286.0,0,No supporting record (in-silico only),expressed_in_vitro,synthetic,P00590,Cutinase 1,Fusarium vanettenii,https://alphafold.ebi.ac.uk/entry/P00590,https://alphafold.ebi.ac.uk/files/AF-P00590-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-038,SYN-FUNC-038,Fungal-cutinase-like,compost metagenome (simulated),223,,72.5,0.372,39.9,8.64,5.4,0.02,4,159.0,0,No supporting record (in-silico only),in_silico_only,synthetic,P00590,Cutinase 1,Fusarium vanettenii,https://alphafold.ebi.ac.uk/entry/P00590,https://alphafold.ebi.ac.uk/files/AF-P00590-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-039,SYN-MHTL-039,MHET-hydrolase-like,marine-sediment metagenome (simulated),604,,97.0,0.901,35.3,7.73,78.2,0.77,4,711.0,4,Simulated cross-laboratory dataset,pilot_evaluated,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-040,SYN-PETL-040,PETase-like,soil metagenome (simulated),331,,80.4,0.727,45.4,8.87,23.4,0.846,5,634.0,2,Simulated replicate observations,activity_screened,synthetic,A0A0K8P6T7,Poly(ethylene terephthalate) hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P6T7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P6T7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-041,SYN-MHTL-041,MHET-hydrolase-like,compost metagenome (simulated),595,,83.6,0.596,49.2,7.8,19.8,0.517,5,682.0,2,Simulated replicate observations,expressed_in_vitro,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-042,SYN-LCCL-042,Leaf-branch-compost-cutinase-like,marine-sediment metagenome (simulated),300,,79.0,0.605,62.6,7.77,61.4,1.507,3,237.0,0,No supporting record (in-silico only),in_silico_only,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-043,SYN-FUNC-043,Fungal-cutinase-like,soil metagenome (simulated),216,,77.4,0.451,32.8,8.32,34.2,0.119,1,98.0,0,No supporting record (in-silico only),in_silico_only,synthetic,P00590,Cutinase 1,Fusarium vanettenii,https://alphafold.ebi.ac.uk/entry/P00590,https://alphafold.ebi.ac.uk/files/AF-P00590-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-044,SYN-LCCL-044,Leaf-branch-compost-cutinase-like,compost metagenome (simulated),297,,80.7,0.488,70.9,7.8,0.0,0.838,4,248.0,0,No supporting record (in-silico only),in_silico_only,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-045,SYN-LCCL-045,Leaf-branch-compost-cutinase-like,marine-sediment metagenome (simulated),321,,82.6,0.401,61.2,9.11,65.2,1.036,1,60.0,0,No supporting record (in-silico only),in_silico_only,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-046,SYN-MHTL-046,MHET-hydrolase-like,wastewater-sludge metagenome (simulated),639,,80.3,0.387,39.5,7.29,25.3,0.02,3,322.0,1,Single simulated observation,expressed_in_vitro,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-047,SYN-MHTL-047,MHET-hydrolase-like,soil metagenome (simulated),637,,80.6,0.669,34.8,7.48,26.6,0.071,4,587.0,3,Simulated multi-condition dataset,activity_screened,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-048,SYN-LCCL-048,Leaf-branch-compost-cutinase-like,hot-spring metagenome (simulated),299,,72.2,0.449,75.1,8.52,11.2,0.967,1,61.0,1,Single simulated observation,expressed_in_vitro,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-049,SYN-MHTL-049,MHET-hydrolase-like,marine-sediment metagenome (simulated),634,,66.3,0.341,28.0,6.76,132.7,0.022,2,145.0,0,No supporting record (in-silico only),in_silico_only,synthetic,A0A0K8P8E7,Mono(2-hydroxyethyl) terephthalate hydrolase,Piscinibacter sakaiensis,https://alphafold.ebi.ac.uk/entry/A0A0K8P8E7,https://alphafold.ebi.ac.uk/files/AF-A0A0K8P8E7-F1-model_v6.pdb,family_reference_not_candidate_specific
ENZ-SYN-050,SYN-LCCL-050,Leaf-branch-compost-cutinase-like,compost metagenome (simulated),312,,71.9,0.424,77.0,7.96,31.7,2.366,2,144.0,1,Single simulated observation,in_silico_only,synthetic,G9BY57,Leaf-branch compost cutinase,Unknown prokaryotic organism,https://alphafold.ebi.ac.uk/entry/G9BY57,https://alphafold.ebi.ac.uk/files/AF-G9BY57-F1-model_v6.pdb,family_reference_not_candidate_specific
